song_id,Title,Artist,left_text,right_text,left_idx,right_idx
1603,Berzerk,Eminem,i know that i don't know question is are you bozos smart enough to feel stupid hope so now ho pre eminem kick your shoes off let your hair down and go berserk all night long grow your beard out just weird out and go berserk all night long eminem,blowin' up a valve vvvalvevalve ain't slowin' it down throw in the towel tttoweltowel dumb it down i don't know how huhhuh howhow at least i know that i don't know question is are you bozos smart enough to feel stupid hope so now ho pre eminem kick your shoes,14,13
3987,How To Love (Remix),Justin Bieber,the night you're the one i need see you had a lot of crooks trying to steal your heart never really had luck couldnt never figure out how to love how to love you had a lot of moments that didnt last forever now you in the corner trying to,figure out how to love how to love you had a lot of moments that didnt last forever now you in the corner trying to put it together how to love how to love for a second you were here why you over there it's hard not to stare the,10,11
5586,Black Widow,Katy Perry,'cause you fucked with me pre you used to be thirsty for me but now you wanna be set free but this is the web web that you weaved so baby now rest in peace i'm gonna love ya until you hate me yeah and i'm gonna show ya what's,you cross the line that i'ma triple scorpio with a wicked bite ooh can you feel the sting it's paralyzing now you're stuck with me 'cause you fucked with me pre you used to be thirsty for me but now you wanna be set free but this is the web,8,7
5975,Another Sad Love Song,Khalid,am hurting s they are burning lover i am worried tables they are turning lover i am hurting burning burning burning dadadadada turning turning turning turning dadadadada burning burning burning dadadadada turning turning turning turning dadadadada burning burning burning dadadadada turning turning turning turning dadadadada burning burning burning dadadadada turning,turning dadadadada burning burning burning dadadadada turning turning turning turning dadadadada burning burning burning dadadadada turning turning turning turning dadadadada burning burning burning dadadadada turning turning turning turning dadadadada s they are burning lover i am worried tables they are turning lover i am hurting s they are burning lover,7,8
2285,Filthy Pop,Lady Gaga,filthy pop pop pop pop we're done real filthy pop play it for me baby give it to me real filthy pop spin that tape spin it because it's fabulous play it for me baby give it to me real filthy pop spin that shit spin it till it's platinum,me baby give it to me real filthy pop spin that shit spin it till it's platinum huh huh huh yeah yeah yeah filthy pop pop pop pop we're done real filthy pop play it for me baby give it to me real filthy pop spin that tape spin it,7,6
3395,Harder to Breathe (The Cool Kids Remix),Maroon 5,how dare you say that my behavior's unacceptable so condescending unnecessarily critical i have the tendency of getting very physical so watch your step 'cause if i do you'll need a miracle you drain me dry and make me wonder why i'm even here the double vision i was seeing,if i do you'll need a miracle you drain me dry and make me wonder why i'm even here the double vision i was seeing is finally clear you want to stay but you know very well i want you gone not fit to fuckin' tread the ground that i,0,1
2619,Beautiful Sinner,Nicki Minaj,cheating liar but tonight you're everything i desire you beautiful sinner i love your wicked heart beautiful sinner it's such a work of art i didn't know that bad could look so good you are the type of bad that feels so good you beautiful sinner maybe you're the master,didn't know that bad could look so good you are the type of bad that feels so good you beautiful sinner maybe you're the master of disguise and you are puttin' on and you're really the saint the good one are you here to save me from the crowd if,8,9
5860,I’m Gonna Be,Post Malone,it up so ooh i'm gonna be what i want what i want what i want yeah what i want i'm gonna do what i want when i want when i want yeah what i want what i want yeah i'm goin' hard 'til i'm gone 'til i'm gone 'til,want when i want when i want yeah what i want what i want yeah i'm goin' hard 'til i'm gone 'til i'm gone 'til i'm gone yeah 'til i'm gone 'til i'm gone 'til i'm gone can you feel it ooh can you feel it hey i'm gonna be,12,13
5199,Work (R3HAB Remix),Rihanna,you took my heart and my keys and my patience you took my heart on my sleeve for decoration you mistaken my love i brought for you for foundation all that i wanted from you was to give me something that i never had something that you've never seen something,for you for foundation all that i wanted from you was to give me something that i never had something that you've never seen something that you've never been mmmmm but i wake up and act like nothing's wrong just get ready fi rihanna work work work work work work,2,3
4579,Boyfriend,Selena Gomez,but i just keep hitting dead ends try to take a shortcut but i get cut again and again yeah ooh i want a boyfriend uhhuh tell me are there any good ones left i keep finding wrong ones but i want love again and again i want a boyfriend,i just want more than me i know that there's a fine line between it's not what i need but oohhoo i want a boyfriend but i just keep hitting dead ends try to take a shortcut but i get cut again and again yeah ooh i want a boyfriend,10,9
4473,ME! (feat. Brendon Urie of Panic! At The Disco) (Live From The Billboard Music Awards),Taylor Swift,know there is a me i'm the only one of me ohoh baby that's the fun of me eeheeheeh oohoohoohooh strike the band up you can't spell awesome without me you're the only one of you baby that's the fun of you and i promise that nobody's gonna love you,is a me i'm the only one of me ohoh baby that's the fun of me eeheeheeh oohoohoohooh strike the band up you can't spell awesome without me you're the only one of you baby that's the fun of you and i promise that nobody's gonna love you like meee,19,20
